TIME,LATITUDE,LONGITUDE,RAINFALL
2016-01-01,23.5,92.75,0.0
2016-01-01,23.5,93.0,0.0
2016-01-01,23.5,93.25,0.0
2016-01-01,23.75,92.75,0.0
2016-01-01,23.75,93.0,0.0
2016-01-01,23.75,93.25,0.0
2016-01-01,24.0,92.75,0.0
2016-01-01,24.0,93.0,0.0
2016-01-01,24.0,93.25,0.0
2016-01-01,24.25,92.75,0.0
2016-01-01,24.25,93.0,0.0
2016-01-01,24.25,93.25,0.0
2016-01-01,24.5,92.75,0.0
2016-01-01,24.5,93.0,0.0
2016-01-01,24.5,93.25,0.0
2016-01-01,24.75,92.75,0.0
2016-01-01,24.75,93.0,0.0
2016-01-01,24.75,93.25,0.0
2016-01-01,25.0,92.75,0.0
2016-01-01,25.0,93.0,0.0
2016-01-01,25.0,93.25,0.0
2016-01-01,25.25,92.75,0.0
2016-01-01,25.25,93.0,0.0
2016-01-01,25.25,93.25,0.0
2016-01-01,25.5,92.75,0.0
2016-01-01,25.5,93.0,0.0
2016-01-01,25.5,93.25,0.0
2016-01-01,25.75,92.75,0.0
2016-01-01,25.75,93.0,0.0
2016-01-01,25.75,93.25,0.0
2016-01-02,23.5,92.75,0.0
2016-01-02,23.5,93.0,0.0
2016-01-02,23.5,93.25,0.0
2016-01-02,23.75,92.75,0.0
2016-01-02,23.75,93.0,0.0
2016-01-02,23.75,93.25,0.0
2016-01-02,24.0,92.75,0.0
2016-01-02,24.0,93.0,0.0
2016-01-02,24.0,93.25,0.0
2016-01-02,24.25,92.75,0.0
2016-01-02,24.25,93.0,0.0
2016-01-02,24.25,93.25,0.0
2016-01-02,24.5,92.75,0.0
2016-01-02,24.5,93.0,0.0
2016-01-02,24.5,93.25,0.0
2016-01-02,24.75,92.75,0.0
2016-01-02,24.75,93.0,0.0
2016-01-02,24.75,93.25,0.0
2016-01-02,25.0,92.75,0.0
2016-01-02,25.0,93.0,0.0
2016-01-02,25.0,93.25,0.0
2016-01-02,25.25,92.75,0.0
2016-01-02,25.25,93.0,0.0
2016-01-02,25.25,93.25,0.0
2016-01-02,25.5,92.75,0.0
2016-01-02,25.5,93.0,0.0
2016-01-02,25.5,93.25,0.0
2016-01-02,25.75,92.75,0.0
2016-01-02,25.75,93.0,0.0
2016-01-02,25.75,93.25,0.0
2016-01-03,23.5,92.75,0.0
2016-01-03,23.5,93.0,0.0
2016-01-03,23.5,93.25,0.0
2016-01-03,23.75,92.75,0.0
2016-01-03,23.75,93.0,0.0
2016-01-03,23.75,93.25,0.0
2016-01-03,24.0,92.75,0.0
2016-01-03,24.0,93.0,0.0
2016-01-03,24.0,93.25,0.0
2016-01-03,24.25,92.75,0.0
2016-01-03,24.25,93.0,0.0
2016-01-03,24.25,93.25,0.0
2016-01-03,24.5,92.75,0.0
2016-01-03,24.5,93.0,0.0
2016-01-03,24.5,93.25,0.0
2016-01-03,24.75,92.75,0.0
2016-01-03,24.75,93.0,0.0
2016-01-03,24.75,93.25,0.0
2016-01-03,25.0,92.75,0.0
2016-01-03,25.0,93.0,0.0
2016-01-03,25.0,93.25,0.0
2016-01-03,25.25,92.75,0.0
2016-01-03,25.25,93.0,0.0
2016-01-03,25.25,93.25,0.0
2016-01-03,25.5,92.75,0.0
2016-01-03,25.5,93.0,0.0
2016-01-03,25.5,93.25,0.0
2016-01-03,25.75,92.75,0.0
2016-01-03,25.75,93.0,0.0
2016-01-03,25.75,93.25,0.0
2016-01-04,23.5,92.75,0.0
2016-01-04,23.5,93.0,0.0
2016-01-04,23.5,93.25,0.0
2016-01-04,23.75,92.75,0.0
2016-01-04,23.75,93.0,0.0
2016-01-04,23.75,93.25,0.0
2016-01-04,24.0,92.75,0.0
2016-01-04,24.0,93.0,0.0
